172.20.0.1 - - [31/May/2026:12:06:21 +0000] "\x16\x03\x01\x06\x1C\x01\x00\x06\x18\x03\x03\x1E\xE1\x1C\xC7\xCB\xED\x19\xF6\xDD\xBCB\xECx\x1FX\xB2\xF6\x00\x96\x1E<\xCF\xC1W\xFA>$\x84\xD73E[ M}\x85*\xFD.\xE9\xA7\x00'\xB7\xBCHb\x94\xD8\xFC'\xA2\xC1\xA5\xC7\xE6\xC5\x9A\xFF\x96\x98\xE0\xBCm\xCD\x00<\x13\x02\x13\x03\x13\x01\xC0,\xC00\x00\x9F\xCC\xA9\xCC\xA8\xCC\xAA\xC0+\xC0/\x00\x9E\xC0$\xC0(\x00k\xC0#\xC0'\x00g\xC0" 400 157 "-" "-"
172.20.0.1 - - [31/May/2026:12:06:34 +0000] "GET /health HTTP/1.1" 200 20 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:08:19 +0000] "GET /health HTTP/1.1" 200 20 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:08:24 +0000] "POST /api/auth/register HTTP/1.1" 500 21 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:08:33 +0000] "POST /api/auth/register HTTP/1.1" 500 21 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:08:38 +0000] "POST /api/auth/register HTTP/1.1" 500 21 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:09:32 +0000] "POST /api/auth/register HTTP/1.1" 422 160 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:09:39 +0000] "POST /api/auth/register HTTP/1.1" 200 110 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:09:44 +0000] "POST /api/auth/login HTTP/1.1" 200 429 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:11:19 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:11:20 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:11:24 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:14:25 +0000] "GET /health HTTP/1.1" 200 20 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:14:37 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:16:12 +0000] "GET / HTTP/1.1" 404 153 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:16:50 +0000] "GET / HTTP/1.1" 404 153 "-" "curl/8.18.0"
172.20.0.1 - - [31/May/2026:12:16:59 +0000] "GET / HTTP/1.1" 404 153 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:17:43 +0000] "GET / HTTP/1.1" 200 3821 "-" "curl/8.18.0"
172.20.0.4 - - [31/May/2026:12:20:41 +0000] "GET / HTTP/1.1" 200 3821 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:41 +0000] "GET /_next/static/chunks/0nkcuoy53l6xr.js HTTP/1.1" 200 1980 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:41 +0000] "GET /_next/static/chunks/0w9s.nktmsljt.js HTTP/1.1" 200 8126 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:41 +0000] "GET /_next/static/chunks/0sn47k_n~v2hj.js HTTP/1.1" 200 8840 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/0rgepsh2xrbar.js HTTP/1.1" 200 9257 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/turbopack-0s~t~9~ar8zz~.js HTTP/1.1" 200 4174 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/0x5hd5ejywctz.js HTTP/1.1" 200 11514 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/0atewq7oc_nlg.js HTTP/1.1" 200 12910 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/0s1h51awulwfr.js HTTP/1.1" 200 37574 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/14wc77ry.drge.js HTTP/1.1" 200 71105 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
172.20.0.4 - - [31/May/2026:12:20:42 +0000] "GET /_next/static/chunks/10cysfi_oev5n.js HTTP/1.1" 200 2512 "https://stratum.uex.hk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0"
